//Grid	ID	x	y	z
STRUT	133	47	14
STRUT	93	20	40
STRUT	83	31	17
STRUT	91	7	40
STRUT	232	30	43
STRUT	94	15	37
STRUT	98	36	38
STRUT	99	39	36
STRUT	181	48	29
STRUT	168	35	27
STRUT	31	11	24
STRUT	101	36	37
STRUT	224	22	33
STRUT	16	16	8
STRUT	102	40	36
STRUT	82	35	31
STRUT	114	16	43
STRUT	154	38	24
STRUT	126	49	18
STRUT	115	43	8
STRUT	95	37	8
STRUT	118	41	44
STRUT	119	45	41
STRUT	205	48	38
STRUT	120	41	16
STRUT	80	13	31
STRUT	121	42	41
STRUT	141	48	46
STRUT	122	41	43
